sentence,target,label,implicit,source
but the staff was so horrible to us.,staff,1,0,restaurants
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.",food,0,0,restaurants
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,0,0,restaurants
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,0,0,restaurants
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,2,1,restaurants
"not only was the food outstanding, but the little 'perks' were great.",food,0,0,restaurants
"not only was the food outstanding, but the little 'perks' were great.",perks,0,0,restaurants
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,0,0,restaurants
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,0,0,restaurants
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,2,1,restaurants
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,2,1,restaurants
"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,0,0,restaurants
nevertheless the food itself is pretty good.,food,0,0,restaurants
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,1,0,restaurants
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,1,1,restaurants
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,1,0,restaurants
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,2,0,restaurants
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,1,0,restaurants
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,2,0,restaurants
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,2,0,restaurants
"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,2,1,restaurants
"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,2,1,restaurants
the design and atmosphere is just as good.,design,0,0,restaurants
the design and atmosphere is just as good.,atmosphere,0,0,restaurants
he has visited thailand and is quite expert on the cuisine.,cuisine,0,1,restaurants
the pizza is the best if you like thin crusted pizza.,pizza,0,0,restaurants
the pizza is the best if you like thin crusted pizza.,thin crusted pizza,2,1,restaurants
"all the money went into the interior decoration, none of it went to the chefs.",interior decoration,0,1,restaurants
"all the money went into the interior decoration, none of it went to the chefs.",chefs,1,1,restaurants
the seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,1,0,restaurants
"i asked for seltzer with lime, no ice.",seltzer with lime,2,1,restaurants
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,0,1,restaurants
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,0,1,restaurants
my suggestion is to eat family style because you'll want to try the other dishes.,dishes,2,1,restaurants
my suggestion is to eat family style because you'll want to try the other dishes.,eat family style,0,0,restaurants
"best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,0,0,restaurants
"best of all is the warm vibe, the owner is super friendly and service is fast.",owner,0,0,restaurants
"best of all is the warm vibe, the owner is super friendly and service is fast.",service,0,0,restaurants
faan's got a great concept but a little rough on the delivery.,delivery,1,0,restaurants
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,0,0,restaurants
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,0,0,restaurants
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,0,0,restaurants
"great food at reasonable prices, makes for an evening that can't be beat!",food,0,0,restaurants
"great food at reasonable prices, makes for an evening that can't be beat!",prices,0,0,restaurants
this little place has a cute interior decor and affordable city prices.,interior decor,0,0,restaurants
this little place has a cute interior decor and affordable city prices.,prices,0,0,restaurants
two words: free wine.,wine,0,0,restaurants
the price is reasonable although the service is poor.,price,0,0,restaurants
the price is reasonable although the service is poor.,service,1,0,restaurants
"the quantity is also very good, you will come out satisfied.",quantity,0,0,restaurants
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,2,1,restaurants
